Variable ID,Item,Why it Matters,Typical Price Swing*,Data Type / Input Method,Example Values / Options,Unit,Lookup Key
PM-05,"Required Certifications (ITAR, AS9100)","Compliance adds significant overhead, auditing, and documentation costs.",10–25% to total quote price as a compliance adder.,Dropdown,"None, ITAR, AS9100, ISO 9001, PPAP (Level 3), FAI, RoHS, REACH",,
FIN-01,Manual Deburring / Edge Break Labor,Time for a person to manually remove sharp edges with hand tools.,$2–$100 per part depending on complexity.,Dropdown,"None, Light Edge Break (0.2–0.3 mm), Standard Deburr, Full Cosmetic, Micro‑Deburr (under magnification)",,
MAT-02,"Material Form Factor (Plate, Bar, Casting)",Affects initial sawing/prep time and material utilization (yield).,~+/- 20% on final material cost.,Dropdown,"Plate, Bar Stock, Sheet, Tube, Extrusion, Casting, Forging, Additive Blank",,
MIL-08,4th/5th Axis Utilization,Adds complexity and cost but can reduce setups.,Increases machine rate but can save hours of setup labor.,Dropdown,"3‑Axis, 3+2 Positional, 5‑Axis Simultaneous, Indexing Only",,
COM-01,Standard Packaging & Boxing Labor,Time to wrap and box parts for safe transit.,$2–$10 per part/package.,Dropdown,"Standard Box, Custom Crate, ESD Bagging, Vacuum Seal, Returnable Container",,
MAT-12,Material Handling (Weight/Size),Very large or heavy stock requires cranes and multiple people to handle.,$100–$1000+ for rigging/handling on large parts.,Dropdown,"Standard, Heavy (>50 lb), Oversize (>24 in), Requires Forklift",,
PM-01,Quoting Lead Time,"Rush quotes require immediate attention, pulling estimators off other work.",$50–$250 flat fee for while-you-wait quotes.,Dropdown,"Standard, Rush (48 h), Expedite (Same Day)",,
COM-06,G&A (General & Admin) Overhead,"A percentage to cover rent, utilities, office staff, and other business costs.",15–25% of total cost.,Lookup – Percentage,Subtotal * 0.20,%,COM_06
MAT-04,Material Cost per Unit (kg/lb/ft),The direct purchase price from the supplier.,Direct cost input.,Lookup – Amount,The formula fetches this cost from a MaterialData table based on the Material Selection input.,$,MAT_04
TRN-01,Primary Lathe / Turning Center Rate,Hourly cost for the specific turning machine.,$80/hr (Standard) vs. $140/hr (Mill-Turn).,Lookup – Rate,The formula fetches this hourly rate from a MachineRates table.,$/hr,TRN_01
COM-04,Insurance / Liability Adder,A factor to cover the risk of damage or loss during production.,1–3% of total cost.,Lookup – Percentage,TotalCost * 0.02,%,COM_04
ASM-04,Precision Fitting Labor (Toolmaker),"High-skill labor for custom fitting, resolving tolerance stack-ups, and making final adjustments to tenths-level precision.",Billed at a premium Tool & Die Maker rate ($100–$150/hr).,Checkbox,True / False,,
ASM-07,Complex Assembly Documentation,"Labor for creating detailed assembly instructions, taking photos, and documenting procedures for complex, multi-part assemblies.",Billed at a Process Engineer rate ($110–$160/hr).,Checkbox,True / False,,
COM-02,Custom Crating NRE,Cost to build a custom wooden crate for large or delicate items.,$200–$1500 flat fee.,Checkbox,True / False,,
ENG-01,DFM Review,Time spent analyzing a design and suggesting cost-saving changes.,1–4 hours of engineering time (+$100–$400).,Checkbox,True / False,,
FIN-02,Tumbling / Vibratory Finishing Time,A batch process for automated deburring of many parts.,$50–$300 per batch.,Checkbox,True / False,,
FIN-09,Laser Marking / Engraving Time,Machine time for adding part numbers or logos.,$5–$25 per part.,Checkbox,True / False,,
FIN-10,Passivation / Cleaning,Process for cleaning and protecting materials like stainless steel.,$100–$300 per batch.,Checkbox,True / False,,
GRD-03,Jig Grinder Rate,"A very high-cost, high-precision machine.",$150–$250 per hour.,Checkbox,True / False,$/hr,
GRD-05,Wire EDM (WEDM) Rate,Hourly cost for the wire EDM machine.,$90–$140 per hour.,Checkbox,True / False,$/hr,
GRD-08,Sinker EDM (Ram EDM) Rate,Hourly cost for the sinker machine.,$80–$120 per hour.,Checkbox,True / False,$/hr,
MIL-07,Pallet Changer / Automation Use,Reduces labor but may carry a higher machine rate.,-20–50% on labor for high-volume jobs.,Checkbox,True / False,,
MIL-10,HSM Toolpaths,Reduces cycle time but requires more programming and a capable machine.,-10–40% on cycle time; +10% on programming time.,Checkbox,True / False,,
MIL-11,Deep Pocket / Long Reach Milling,"Requires special, expensive tooling and slower, more careful machining.",50–200% on cycle time for those features; +$200 on tooling.,Checkbox,True / False,,
MIL-12,Thin Wall Machining Factor,"A multiplier to account for slower, chatter-prone machining.",25–100% on cycle time for delicate features.,Checkbox,True / False,,
PM-07,Expedite Request,"Expedited jobs require overtime, schedule disruption, and premium shipping.",25–100% on total price; depends on severity.,Checkbox,True / False,,
PM-10,Customer-Furnished Material (CFM),"Handling CFM requires tracking, inspection, and assumes liability for scrap.",$100–$500 handling fee per lot.,Checkbox,True / False,,
QC-05,First Article Inspection Report (FAIR) Labor,Admin time to create the detailed documentation package.,$300–$2000 flat fee per FAIR.,Checkbox,True / False,,
QC-06,Source Inspection Requirement,Need to accommodate a customer representative witnessing inspection.,2–4 hours of QC labor for coordination (+$150–$300).,Checkbox,True / False,,
QC-07,Gauge / Check Fixture NRE,Cost to design and build a custom gauge for a specific feature.,$500–$5000+ NRE.,Checkbox,True / False,,
TRN-02,Bar Feeder Utilization,"Enables automation for high-volume jobs, reducing labor.",-30–60% on labor for high-volume jobs.,Checkbox,True / False,,
TRN-03,Live Tooling / Mill-Turn Ops Time,Cycle time for milled features done on the lathe.,Billed at the higher mill-turn machine rate.,Checkbox,True / False,,
TRN-04,Sub-Spindle Utilization,Enables working on the back side of a part in one setup.,Eliminates a secondary setup (saves +$75–$200).,Checkbox,True / False,,
TRN-10,Form Tool Requirement,Need for custom-ground tools for special profiles adds NRE.,$200–$1000 NRE for custom tool.,Checkbox,True / False,,
GRD-07,WEDM Wire Consumption Cost,The cost of the consumable brass or coated wire.,~$2–$5 per hour of burn time.,Calculated (Read-only),WEDM_Burn_Time * 4.50,$,
